transaction_id,customer_id,policy_type,start_date,end_date,premium_amount,status,claim_history
TXN-c3276c4d,C360-100000,Accidental Insurance,2021-07-02,2022-07-02,1432,Expired,1
TXN-5e29bf8e,C360-100000,Accidental Insurance,2022-07-02,2023-07-02,1477,Expired,0
TXN-2d47cdcb,C360-100000,Accidental Insurance,2023-07-02,2024-07-01,1468,Expired,2
TXN-a8b89402,C360-100000,Accidental Insurance,2024-07-01,2025-07-01,1582,Expired,0
TXN-9ed46ace,C360-100000,Accidental Insurance,2025-07-01,2026-07-01,1484,Active,0
TXN-55119179,C360-100001,Motor Insurance,2021-07-02,2022-07-02,326,Expired,0
TXN-90807806,C360-100001,Motor Insurance,2022-07-02,2023-07-02,352,Expired,0
TXN-4eb9f192,C360-100001,Motor Insurance,2023-07-02,2024-07-01,408,Expired,0
TXN-b0bcd5f3,C360-100001,Motor Insurance,2024-07-01,2025-07-01,476,Expired,0
TXN-c6ec8681,C360-100001,Motor Insurance,2025-07-01,2026-07-01,394,Active,0
TXN-01abfdff,C360-100002,Life Insurance,2021-07-02,2022-07-02,968,Expired,0
TXN-654d0fc4,C360-100003,Life Insurance,2021-07-02,2022-07-02,1260,Expired,0
TXN-415dc74d,C360-100003,Life Insurance,2022-07-02,2023-07-02,1270,Expired,0
TXN-426de1da,C360-100003,Life Insurance,2023-07-02,2024-07-01,1322,Expired,1
TXN-7e3181c5,C360-100003,Life Insurance,2024-07-01,2025-07-01,1380,Expired,0
TXN-a8252e36,C360-100003,Life Insurance,2025-07-01,2026-07-01,1380,Active,0
TXN-9e41afe0,C360-100003,Accidental Insurance,2021-07-02,2022-07-02,1395,Expired,0
TXN-42990f53,C360-100003,Accidental Insurance,2022-07-02,2023-07-02,1406,Expired,0
TXN-44bd9e81,C360-100003,Accidental Insurance,2023-07-02,2024-07-01,1489,Expired,0
TXN-010907e3,C360-100003,Accidental Insurance,2024-07-01,2025-07-01,1485,Expired,0
TXN-40df07c7,C360-100003,Accidental Insurance,2025-07-01,2026-07-01,1535,Active,0
TXN-793407d9,C360-100004,Health Insurance,2021-07-02,2022-07-02,884,Expired,0
TXN-08e933bf,C360-100004,Health Insurance,2022-07-02,2023-07-02,934,Expired,0
TXN-d3bf79a3,C360-100004,Health Insurance,2023-07-02,2024-07-01,954,Expired,0
TXN-a6fdfd3e,C360-100004,Health Insurance,2024-07-01,2025-07-01,989,Expired,2
TXN-9c0c0d53,C360-100004,Health Insurance,2025-07-01,2026-07-01,956,Active,0
TXN-9672beb7,C360-100004,Life Insurance,2021-07-02,2022-07-02,1015,Expired,2
TXN-42fe4cee,C360-100004,Life Insurance,2022-07-02,2023-07-02,1038,Expired,0
TXN-827d8f88,C360-100004,Motor Insurance,2021-07-02,2022-07-02,476,Expired,0
TXN-0bcc0c1e,C360-100004,Motor Insurance,2022-07-02,2023-07-02,514,Expired,0
TXN-f751c69e,C360-100004,Motor Insurance,2023-07-02,2024-07-01,568,Expired,0
TXN-7faad90b,C360-100004,Motor Insurance,2024-07-01,2025-07-01,617,Expired,0
TXN-ded5c86e,C360-100004,Motor Insurance,2025-07-01,2026-07-01,588,Active,1
TXN-e4e19cfd,C360-100005,Health Insurance,2021-07-02,2022-07-02,866,Expired,0
TXN-74c8ea98,C360-100005,Health Insurance,2022-07-02,2023-07-02,909,Expired,0
TXN-d9f5dedb,C360-100005,Health Insurance,2023-07-02,2024-07-01,952,Expired,0
TXN-dfd98dba,C360-100005,Health Insurance,2024-07-01,2025-07-01,998,Expired,0
TXN-867bad3e,C360-100005,Health Insurance,2025-07-01,2026-07-01,962,Active,0
TXN-6240d2a7,C360-100005,Life Insurance,2021-07-02,2022-07-02,1497,Expired,1
TXN-8c185cd6,C360-100005,Life Insurance,2022-07-02,2023-07-02,1523,Expired,0
TXN-99ca0db4,C360-100005,Life Insurance,2023-07-02,2024-07-01,1517,Expired,0
TXN-f6d92f99,C360-100005,Life Insurance,2024-07-01,2025-07-01,1575,Expired,0
TXN-59ce5d70,C360-100005,Life Insurance,2025-07-01,2026-07-01,1689,Active,0
TXN-ad932650,C360-100005,Motor Insurance,2021-07-02,2022-07-02,1284,Expired,0
TXN-abce1871,C360-100005,Motor Insurance,2022-07-02,2023-07-02,1298,Expired,0
TXN-9e62001a,C360-100005,Motor Insurance,2023-07-02,2024-07-01,1366,Expired,1
TXN-41adbffe,C360-100005,Motor Insurance,2024-07-01,2025-07-01,1422,Expired,1
TXN-931b54b8,C360-100005,Motor Insurance,2025-07-01,2026-07-01,1436,Active,0
TXN-c1e3ac18,C360-100005,Accidental Insurance,2021-07-02,2022-07-02,501,Expired,0
TXN-3657af07,C360-100005,Accidental Insurance,2022-07-02,2023-07-02,515,Expired,0
TXN-ef08ab3d,C360-100005,Accidental Insurance,2023-07-02,2024-07-01,583,Expired,0
TXN-f45d7695,C360-100005,Accidental Insurance,2024-07-01,2025-07-01,621,Expired,1
TXN-76599e43,C360-100005,Accidental Insurance,2025-07-01,2026-07-01,693,Active,0
TXN-cf277d81,C360-100006,Health Insurance,2021-07-02,2022-07-02,1178,Expired,0
TXN-3acfabcf,C360-100006,Health Insurance,2022-07-02,2023-07-02,1207,Expired,0
TXN-0ba5745e,C360-100006,Health Insurance,2023-07-02,2024-07-01,1228,Expired,0
TXN-1e65193c,C360-100006,Health Insurance,2024-07-01,2025-07-01,1223,Expired,0
TXN-5dea9f64,C360-100006,Health Insurance,2025-07-01,2026-07-01,1350,Active,0
TXN-38d69065,C360-100007,Health Insurance,2021-07-02,2022-07-02,1230,Expired,0
