Date,Store,Category,Product,Demand_Volume
2022-01-01,Whole Foods,Produce,Apples,303
2022-01-01,Whole Foods,Produce,Bananas,378
2022-01-01,Whole Foods,Produce,Carrots,323
2022-01-01,Whole Foods,Dairy,Milk,374
2022-01-01,Whole Foods,Dairy,Cheese,110
2022-01-01,Whole Foods,Dairy,Yogurt,350
2022-01-01,Whole Foods,Meat,Chicken,470
2022-01-01,Whole Foods,Meat,Beef,208
2022-01-01,Whole Foods,Meat,Pork,480
2022-01-01,Trader Joes,Produce,Apples,298
2022-01-01,Trader Joes,Produce,Bananas,271
2022-01-01,Trader Joes,Produce,Carrots,413
2022-01-01,Trader Joes,Dairy,Milk,277
2022-01-01,Trader Joes,Dairy,Cheese,481
2022-01-01,Trader Joes,Dairy,Yogurt,344
2022-01-01,Trader Joes,Meat,Chicken,119
2022-01-01,Trader Joes,Meat,Beef,321
2022-01-01,Trader Joes,Meat,Pork,264
2022-01-01,Kroger,Produce,Apples,248
2022-01-01,Kroger,Produce,Bananas,299
2022-01-01,Kroger,Produce,Carrots,401
2022-01-01,Kroger,Dairy,Milk,438
2022-01-01,Kroger,Dairy,Cheese,425
2022-01-01,Kroger,Dairy,Yogurt,209
2022-01-01,Kroger,Meat,Chicken,368
2022-01-01,Kroger,Meat,Beef,186
2022-01-01,Kroger,Meat,Pork,132
2022-01-02,Whole Foods,Produce,Apples,408
2022-01-02,Whole Foods,Produce,Bananas,265
2022-01-02,Whole Foods,Produce,Carrots,532
2022-01-02,Whole Foods,Dairy,Milk,257
2022-01-02,Whole Foods,Dairy,Cheese,295
2022-01-02,Whole Foods,Dairy,Yogurt,185
2022-01-02,Whole Foods,Meat,Chicken,300
2022-01-02,Whole Foods,Meat,Beef,363
2022-01-02,Whole Foods,Meat,Pork,430
2022-01-02,Trader Joes,Produce,Apples,308
2022-01-02,Trader Joes,Produce,Bananas,309
2022-01-02,Trader Joes,Produce,Carrots,317
2022-01-02,Trader Joes,Dairy,Milk,187
2022-01-02,Trader Joes,Dairy,Cheese,493
2022-01-02,Trader Joes,Dairy,Yogurt,132
2022-01-02,Trader Joes,Meat,Chicken,489
2022-01-02,Trader Joes,Meat,Beef,190
2022-01-02,Trader Joes,Meat,Pork,364
2022-01-02,Kroger,Produce,Apples,454
2022-01-02,Kroger,Produce,Bananas,357
2022-01-02,Kroger,Produce,Carrots,414
2022-01-02,Kroger,Dairy,Milk,220
2022-01-02,Kroger,Dairy,Cheese,291
2022-01-02,Kroger,Dairy,Yogurt,332
2022-01-02,Kroger,Meat,Chicken,378
2022-01-02,Kroger,Meat,Beef,221
2022-01-02,Kroger,Meat,Pork,444
2022-01-03,Whole Foods,Produce,Apples,586
2022-01-03,Whole Foods,Produce,Bananas,391
2022-01-03,Whole Foods,Produce,Carrots,442
2022-01-03,Whole Foods,Dairy,Milk,388
2022-01-03,Whole Foods,Dairy,Cheese,445
2022-01-03,Whole Foods,Dairy,Yogurt,377
2022-01-03,Whole Foods,Meat,Chicken,269
2022-01-03,Whole Foods,Meat,Beef,161
2022-01-03,Whole Foods,Meat,Pork,348
2022-01-03,Trader Joes,Produce,Apples,383
2022-01-03,Trader Joes,Produce,Bananas,504
2022-01-03,Trader Joes,Produce,Carrots,512
2022-01-03,Trader Joes,Dairy,Milk,454
2022-01-03,Trader Joes,Dairy,Cheese,181
2022-01-03,Trader Joes,Dairy,Yogurt,390
2022-01-03,Trader Joes,Meat,Chicken,230
2022-01-03,Trader Joes,Meat,Beef,417
2022-01-03,Trader Joes,Meat,Pork,438
2022-01-03,Kroger,Produce,Apples,325
2022-01-03,Kroger,Produce,Bananas,458
2022-01-03,Kroger,Produce,Carrots,522
2022-01-03,Kroger,Dairy,Milk,485
2022-01-03,Kroger,Dairy,Cheese,462
2022-01-03,Kroger,Dairy,Yogurt,253
2022-01-03,Kroger,Meat,Chicken,432
2022-01-03,Kroger,Meat,Beef,387
2022-01-03,Kroger,Meat,Pork,345
2022-01-04,Whole Foods,Produce,Apples,393
2022-01-04,Whole Foods,Produce,Bananas,358
2022-01-04,Whole Foods,Produce,Carrots,493
2022-01-04,Whole Foods,Dairy,Milk,448
2022-01-04,Whole Foods,Dairy,Cheese,223
2022-01-04,Whole Foods,Dairy,Yogurt,182
2022-01-04,Whole Foods,Meat,Chicken,329
2022-01-04,Whole Foods,Meat,Beef,161
2022-01-04,Whole Foods,Meat,Pork,290
2022-01-04,Trader Joes,Produce,Apples,422
2022-01-04,Trader Joes,Produce,Bananas,415
2022-01-04,Trader Joes,Produce,Carrots,183
2022-01-04,Trader Joes,Dairy,Milk,234
2022-01-04,Trader Joes,Dairy,Cheese,250
2022-01-04,Trader Joes,Dairy,Yogurt,457
2022-01-04,Trader Joes,Meat,Chicken,313
2022-01-04,Trader Joes,Meat,Beef,101
2022-01-04,Trader Joes,Meat,Pork,250
2022-01-04,Kroger,Produce,Apples,249
2022-01-04,Kroger,Produce,Bananas,383
2022-01-04,Kroger,Produce,Carrots,208
2022-01-04,Kroger,Dairy,Milk,244
2022-01-04,Kroger,Dairy,Cheese,494
2022-01-04,Kroger,Dairy,Yogurt,429
2022-01-04,Kroger,Meat,Chicken,266
2022-01-04,Kroger,Meat,Beef,487
2022-01-04,Kroger,Meat,Pork,470
2022-01-05,Whole Foods,Produce,Apples,545
2022-01-05,Whole Foods,Produce,Bananas,475
2022-01-05,Whole Foods,Produce,Carrots,598
2022-01-05,Whole Foods,Dairy,Milk,180
2022-01-05,Whole Foods,Dairy,Cheese,402
2022-01-05,Whole Foods,Dairy,Yogurt,146
2022-01-05,Whole Foods,Meat,Chicken,426
2022-01-05,Whole Foods,Meat,Beef,245
2022-01-05,Whole Foods,Meat,Pork,398
2022-01-05,Trader Joes,Produce,Apples,450
2022-01-05,Trader Joes,Produce,Bananas,421
2022-01-05,Trader Joes,Produce,Carrots,305
2022-01-05,Trader Joes,Dairy,Milk,217
2022-01-05,Trader Joes,Dairy,Cheese,199
2022-01-05,Trader Joes,Dairy,Yogurt,279
2022-01-05,Trader Joes,Meat,Chicken,191
2022-01-05,Trader Joes,Meat,Beef,351
2022-01-05,Trader Joes,Meat,Pork,361
2022-01-05,Kroger,Produce,Apples,383
2022-01-05,Kroger,Produce,Bananas,440
2022-01-05,Kroger,Produce,Carrots,551
2022-01-05,Kroger,Dairy,Milk,225
2022-01-05,Kroger,Dairy,Cheese,190
2022-01-05,Kroger,Dairy,Yogurt,412
2022-01-05,Kroger,Meat,Chicken,388
2022-01-05,Kroger,Meat,Beef,407
2022-01-05,Kroger,Meat,Pork,450
2022-01-06,Whole Foods,Produce,Apples,346
2022-01-06,Whole Foods,Produce,Bananas,405
2022-01-06,Whole Foods,Produce,Carrots,408
2022-01-06,Whole Foods,Dairy,Milk,119
2022-01-06,Whole Foods,Dairy,Cheese,440
2022-01-06,Whole Foods,Dairy,Yogurt,380
2022-01-06,Whole Foods,Meat,Chicken,419
2022-01-06,Whole Foods,Meat,Beef,341
2022-01-06,Whole Foods,Meat,Pork,300
2022-01-06,Trader Joes,Produce,Apples,388
2022-01-06,Trader Joes,Produce,Bananas,279
2022-01-06,Trader Joes,Produce,Carrots,502
2022-01-06,Trader Joes,Dairy,Milk,499
2022-01-06,Trader Joes,Dairy,Cheese,304
2022-01-06,Trader Joes,Dairy,Yogurt,331
2022-01-06,Trader Joes,Meat,Chicken,489
2022-01-06,Trader Joes,Meat,Beef,339
2022-01-06,Trader Joes,Meat,Pork,195
2022-01-06,Kroger,Produce,Apples,574
2022-01-06,Kroger,Produce,Bananas,557
2022-01-06,Kroger,Produce,Carrots,569
2022-01-06,Kroger,Dairy,Milk,427
2022-01-06,Kroger,Dairy,Cheese,415
2022-01-06,Kroger,Dairy,Yogurt,195
2022-01-06,Kroger,Meat,Chicken,124
2022-01-06,Kroger,Meat,Beef,343
2022-01-06,Kroger,Meat,Pork,442
2022-01-07,Whole Foods,Produce,Apples,319
2022-01-07,Whole Foods,Produce,Bananas,514
2022-01-07,Whole Foods,Produce,Carrots,309
2022-01-07,Whole Foods,Dairy,Milk,470
2022-01-07,Whole Foods,Dairy,Cheese,322
2022-01-07,Whole Foods,Dairy,Yogurt,238
2022-01-07,Whole Foods,Meat,Chicken,203
2022-01-07,Whole Foods,Meat,Beef,426
2022-01-07,Whole Foods,Meat,Pork,369
2022-01-07,Trader Joes,Produce,Apples,287
2022-01-07,Trader Joes,Produce,Bananas,291
2022-01-07,Trader Joes,Produce,Carrots,539
2022-01-07,Trader Joes,Dairy,Milk,486
2022-01-07,Trader Joes,Dairy,Cheese,331
2022-01-07,Trader Joes,Dairy,Yogurt,333
2022-01-07,Trader Joes,Meat,Chicken,497
2022-01-07,Trader Joes,Meat,Beef,344
2022-01-07,Trader Joes,Meat,Pork,316
2022-01-07,Kroger,Produce,Apples,554
2022-01-07,Kroger,Produce,Bananas,645
2022-01-07,Kroger,Produce,Carrots,508
2022-01-07,Kroger,Dairy,Milk,193
2022-01-07,Kroger,Dairy,Cheese,304
2022-01-07,Kroger,Dairy,Yogurt,217
2022-01-07,Kroger,Meat,Chicken,311
2022-01-07,Kroger,Meat,Beef,216
2022-01-07,Kroger,Meat,Pork,347
2022-01-08,Whole Foods,Produce,Apples,341
2022-01-08,Whole Foods,Produce,Bananas,550
2022-01-08,Whole Foods,Produce,Carrots,328
2022-01-08,Whole Foods,Dairy,Milk,115
2022-01-08,Whole Foods,Dairy,Cheese,398
2022-01-08,Whole Foods,Dairy,Yogurt,167
2022-01-08,Whole Foods,Meat,Chicken,142
2022-01-08,Whole Foods,Meat,Beef,304
2022-01-08,Whole Foods,Meat,Pork,317
2022-01-08,Trader Joes,Produce,Apples,477
2022-01-08,Trader Joes,Produce,Bananas,426
2022-01-08,Trader Joes,Produce,Carrots,271
2022-01-08,Trader Joes,Dairy,Milk,314
2022-01-08,Trader Joes,Dairy,Cheese,206
2022-01-08,Trader Joes,Dairy,Yogurt,100
2022-01-08,Trader Joes,Meat,Chicken,392
2022-01-08,Trader Joes,Meat,Beef,251
2022-01-08,Trader Joes,Meat,Pork,497
2022-01-08,Kroger,Produce,Apples,294
2022-01-08,Kroger,Produce,Bananas,366
2022-01-08,Kroger,Produce,Carrots,246
2022-01-08,Kroger,Dairy,Milk,128
2022-01-08,Kroger,Dairy,Cheese,164
2022-01-08,Kroger,Dairy,Yogurt,273
2022-01-08,Kroger,Meat,Chicken,174
2022-01-08,Kroger,Meat,Beef,131
2022-01-08,Kroger,Meat,Pork,449
2022-01-09,Whole Foods,Produce,Apples,174
2022-01-09,Whole Foods,Produce,Bananas,457
2022-01-09,Whole Foods,Produce,Carrots,337
2022-01-09,Whole Foods,Dairy,Milk,333
2022-01-09,Whole Foods,Dairy,Cheese,199
2022-01-09,Whole Foods,Dairy,Yogurt,119
2022-01-09,Whole Foods,Meat,Chicken,134
2022-01-09,Whole Foods,Meat,Beef,434
2022-01-09,Whole Foods,Meat,Pork,469
2022-01-09,Trader Joes,Produce,Apples,516
2022-01-09,Trader Joes,Produce,Bananas,233
2022-01-09,Trader Joes,Produce,Carrots,593
2022-01-09,Trader Joes,Dairy,Milk,104
2022-01-09,Trader Joes,Dairy,Cheese,242
