Date,Agency,Policy_Type,Coverage,Conversions
2022-01-01,Geico,Auto,Comprehensive,227
2022-01-01,Geico,Auto,Liability,311
2022-01-01,Geico,Home,Property,108
2022-01-01,Geico,Home,Renters,77
2022-01-01,Geico,Life,Term,257
2022-01-01,Geico,Life,Whole,146
2022-01-01,StateFarm,Auto,Comprehensive,190
2022-01-01,StateFarm,Auto,Liability,304
2022-01-01,StateFarm,Home,Property,109
2022-01-01,StateFarm,Home,Renters,239
2022-01-01,StateFarm,Life,Term,151
2022-01-01,StateFarm,Life,Whole,196
2022-01-01,Allstate,Auto,Comprehensive,136
2022-01-01,Allstate,Auto,Liability,252
2022-01-01,Allstate,Home,Property,103
2022-01-01,Allstate,Home,Renters,74
2022-01-01,Allstate,Life,Term,190
2022-01-01,Allstate,Life,Whole,295
2022-01-02,Geico,Auto,Comprehensive,280
2022-01-02,Geico,Auto,Liability,105
2022-01-02,Geico,Home,Property,167
2022-01-02,Geico,Home,Renters,193
2022-01-02,Geico,Life,Term,107
2022-01-02,Geico,Life,Whole,121
2022-01-02,StateFarm,Auto,Comprehensive,309
2022-01-02,StateFarm,Auto,Liability,242
2022-01-02,StateFarm,Home,Property,224
2022-01-02,StateFarm,Home,Renters,194
2022-01-02,StateFarm,Life,Term,235
2022-01-02,StateFarm,Life,Whole,232
2022-01-02,Allstate,Auto,Comprehensive,96
2022-01-02,Allstate,Auto,Liability,291
2022-01-02,Allstate,Home,Property,187
2022-01-02,Allstate,Home,Renters,81
2022-01-02,Allstate,Life,Term,252
2022-01-02,Allstate,Life,Whole,121
2022-01-03,Geico,Auto,Comprehensive,187
2022-01-03,Geico,Auto,Liability,283
2022-01-03,Geico,Home,Property,195
2022-01-03,Geico,Home,Renters,50
2022-01-03,Geico,Life,Term,58
2022-01-03,Geico,Life,Whole,183
2022-01-03,StateFarm,Auto,Comprehensive,162
2022-01-03,StateFarm,Auto,Liability,112
2022-01-03,StateFarm,Home,Property,276
2022-01-03,StateFarm,Home,Renters,88
2022-01-03,StateFarm,Life,Term,282
2022-01-03,StateFarm,Life,Whole,281
2022-01-03,Allstate,Auto,Comprehensive,305
2022-01-03,Allstate,Auto,Liability,126
2022-01-03,Allstate,Home,Property,218
2022-01-03,Allstate,Home,Renters,229
2022-01-03,Allstate,Life,Term,160
2022-01-03,Allstate,Life,Whole,236
2022-01-04,Geico,Auto,Comprehensive,186
2022-01-04,Geico,Auto,Liability,237
2022-01-04,Geico,Home,Property,111
2022-01-04,Geico,Home,Renters,111
2022-01-04,Geico,Life,Term,76
2022-01-04,Geico,Life,Whole,253
2022-01-04,StateFarm,Auto,Comprehensive,129
2022-01-04,StateFarm,Auto,Liability,201
2022-01-04,StateFarm,Home,Property,60
2022-01-04,StateFarm,Home,Renters,133
2022-01-04,StateFarm,Life,Term,205
2022-01-04,StateFarm,Life,Whole,200
2022-01-04,Allstate,Auto,Comprehensive,292
2022-01-04,Allstate,Auto,Liability,306
2022-01-04,Allstate,Home,Property,74
2022-01-04,Allstate,Home,Renters,299
2022-01-04,Allstate,Life,Term,272
2022-01-04,Allstate,Life,Whole,172
2022-01-05,Geico,Auto,Comprehensive,242
2022-01-05,Geico,Auto,Liability,301
2022-01-05,Geico,Home,Property,113
2022-01-05,Geico,Home,Renters,94
2022-01-05,Geico,Life,Term,133
2022-01-05,Geico,Life,Whole,136
2022-01-05,StateFarm,Auto,Comprehensive,290
2022-01-05,StateFarm,Auto,Liability,80
2022-01-05,StateFarm,Home,Property,241
2022-01-05,StateFarm,Home,Renters,192
2022-01-05,StateFarm,Life,Term,275
2022-01-05,StateFarm,Life,Whole,94
2022-01-05,Allstate,Auto,Comprehensive,175
2022-01-05,Allstate,Auto,Liability,259
2022-01-05,Allstate,Home,Property,73
2022-01-05,Allstate,Home,Renters,72
2022-01-05,Allstate,Life,Term,213
2022-01-05,Allstate,Life,Whole,103
2022-01-06,Geico,Auto,Comprehensive,237
2022-01-06,Geico,Auto,Liability,91
2022-01-06,Geico,Home,Property,67
2022-01-06,Geico,Home,Renters,132
2022-01-06,Geico,Life,Term,189
2022-01-06,Geico,Life,Whole,254
2022-01-06,StateFarm,Auto,Comprehensive,214
2022-01-06,StateFarm,Auto,Liability,135
2022-01-06,StateFarm,Home,Property,135
2022-01-06,StateFarm,Home,Renters,268
2022-01-06,StateFarm,Life,Term,114
2022-01-06,StateFarm,Life,Whole,137
2022-01-06,Allstate,Auto,Comprehensive,285
2022-01-06,Allstate,Auto,Liability,207
2022-01-06,Allstate,Home,Property,157
2022-01-06,Allstate,Home,Renters,118
2022-01-06,Allstate,Life,Term,119
2022-01-06,Allstate,Life,Whole,256
2022-01-07,Geico,Auto,Comprehensive,186
2022-01-07,Geico,Auto,Liability,219
2022-01-07,Geico,Home,Property,266
2022-01-07,Geico,Home,Renters,212
2022-01-07,Geico,Life,Term,280
2022-01-07,Geico,Life,Whole,273
2022-01-07,StateFarm,Auto,Comprehensive,263
2022-01-07,StateFarm,Auto,Liability,227
2022-01-07,StateFarm,Home,Property,259
2022-01-07,StateFarm,Home,Renters,83
2022-01-07,StateFarm,Life,Term,154
2022-01-07,StateFarm,Life,Whole,187
2022-01-07,Allstate,Auto,Comprehensive,267
2022-01-07,Allstate,Auto,Liability,168
2022-01-07,Allstate,Home,Property,177
2022-01-07,Allstate,Home,Renters,186
2022-01-07,Allstate,Life,Term,287
2022-01-07,Allstate,Life,Whole,253
2022-01-08,Geico,Auto,Comprehensive,241
2022-01-08,Geico,Auto,Liability,154
2022-01-08,Geico,Home,Property,61
2022-01-08,Geico,Home,Renters,212
2022-01-08,Geico,Life,Term,141
2022-01-08,Geico,Life,Whole,237
2022-01-08,StateFarm,Auto,Comprehensive,363
2022-01-08,StateFarm,Auto,Liability,294
2022-01-08,StateFarm,Home,Property,266
2022-01-08,StateFarm,Home,Renters,116
2022-01-08,StateFarm,Life,Term,159
2022-01-08,StateFarm,Life,Whole,218
2022-01-08,Allstate,Auto,Comprehensive,92
2022-01-08,Allstate,Auto,Liability,261
2022-01-08,Allstate,Home,Property,196
2022-01-08,Allstate,Home,Renters,180
2022-01-08,Allstate,Life,Term,138
2022-01-08,Allstate,Life,Whole,225
2022-01-09,Geico,Auto,Comprehensive,315
2022-01-09,Geico,Auto,Liability,165
2022-01-09,Geico,Home,Property,68
2022-01-09,Geico,Home,Renters,183
2022-01-09,Geico,Life,Term,96
2022-01-09,Geico,Life,Whole,204
2022-01-09,StateFarm,Auto,Comprehensive,127
2022-01-09,StateFarm,Auto,Liability,297
2022-01-09,StateFarm,Home,Property,180
2022-01-09,StateFarm,Home,Renters,158
2022-01-09,StateFarm,Life,Term,247
2022-01-09,StateFarm,Life,Whole,164
2022-01-09,Allstate,Auto,Comprehensive,114
2022-01-09,Allstate,Auto,Liability,230
2022-01-09,Allstate,Home,Property,96
2022-01-09,Allstate,Home,Renters,254
2022-01-09,Allstate,Life,Term,102
2022-01-09,Allstate,Life,Whole,137
2022-01-10,Geico,Auto,Comprehensive,265
2022-01-10,Geico,Auto,Liability,254
2022-01-10,Geico,Home,Property,177
2022-01-10,Geico,Home,Renters,276
2022-01-10,Geico,Life,Term,282
2022-01-10,Geico,Life,Whole,270
2022-01-10,StateFarm,Auto,Comprehensive,274
2022-01-10,StateFarm,Auto,Liability,204
2022-01-10,StateFarm,Home,Property,234
2022-01-10,StateFarm,Home,Renters,180
2022-01-10,StateFarm,Life,Term,263
2022-01-10,StateFarm,Life,Whole,225
2022-01-10,Allstate,Auto,Comprehensive,283
2022-01-10,Allstate,Auto,Liability,173
2022-01-10,Allstate,Home,Property,100
2022-01-10,Allstate,Home,Renters,61
2022-01-10,Allstate,Life,Term,85
2022-01-10,Allstate,Life,Whole,293
2022-01-11,Geico,Auto,Comprehensive,212
2022-01-11,Geico,Auto,Liability,215
2022-01-11,Geico,Home,Property,276
2022-01-11,Geico,Home,Renters,115
2022-01-11,Geico,Life,Term,263
2022-01-11,Geico,Life,Whole,110
2022-01-11,StateFarm,Auto,Comprehensive,202
2022-01-11,StateFarm,Auto,Liability,353
2022-01-11,StateFarm,Home,Property,252
2022-01-11,StateFarm,Home,Renters,236
2022-01-11,StateFarm,Life,Term,283
2022-01-11,StateFarm,Life,Whole,129
2022-01-11,Allstate,Auto,Comprehensive,318
2022-01-11,Allstate,Auto,Liability,257
2022-01-11,Allstate,Home,Property,192
2022-01-11,Allstate,Home,Renters,168
2022-01-11,Allstate,Life,Term,198
2022-01-11,Allstate,Life,Whole,70
2022-01-12,Geico,Auto,Comprehensive,303
2022-01-12,Geico,Auto,Liability,124
2022-01-12,Geico,Home,Property,221
2022-01-12,Geico,Home,Renters,132
2022-01-12,Geico,Life,Term,219
2022-01-12,Geico,Life,Whole,223
2022-01-12,StateFarm,Auto,Comprehensive,211
2022-01-12,StateFarm,Auto,Liability,210
2022-01-12,StateFarm,Home,Property,125
2022-01-12,StateFarm,Home,Renters,83
2022-01-12,StateFarm,Life,Term,277
2022-01-12,StateFarm,Life,Whole,260
2022-01-12,Allstate,Auto,Comprehensive,153
2022-01-12,Allstate,Auto,Liability,287
2022-01-12,Allstate,Home,Property,279
2022-01-12,Allstate,Home,Renters,95
2022-01-12,Allstate,Life,Term,175
2022-01-12,Allstate,Life,Whole,266
2022-01-13,Geico,Auto,Comprehensive,258
2022-01-13,Geico,Auto,Liability,286
2022-01-13,Geico,Home,Property,125
2022-01-13,Geico,Home,Renters,140
2022-01-13,Geico,Life,Term,151
2022-01-13,Geico,Life,Whole,160
2022-01-13,StateFarm,Auto,Comprehensive,354
2022-01-13,StateFarm,Auto,Liability,191
2022-01-13,StateFarm,Home,Property,99
2022-01-13,StateFarm,Home,Renters,83
2022-01-13,StateFarm,Life,Term,156
2022-01-13,StateFarm,Life,Whole,97
2022-01-13,Allstate,Auto,Comprehensive,94
2022-01-13,Allstate,Auto,Liability,163
2022-01-13,Allstate,Home,Property,217
2022-01-13,Allstate,Home,Renters,64
2022-01-13,Allstate,Life,Term,211
2022-01-13,Allstate,Life,Whole,209
2022-01-14,Geico,Auto,Comprehensive,232
2022-01-14,Geico,Auto,Liability,169
2022-01-14,Geico,Home,Property,163
2022-01-14,Geico,Home,Renters,154
2022-01-14,Geico,Life,Term,142
2022-01-14,Geico,Life,Whole,274
