Date,Company,Freight_Type,Shipping_Lane,Vessel_Name,IMO_Number,Vessel_Capacity,Volume_Tons
2022-01-01,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,12368
2022-01-01,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,12268
2022-01-01,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,12593
2022-01-01,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,10033
2022-01-01,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,8945
2022-01-01,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,8661
2022-01-01,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,11492
2022-01-01,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,6287
2022-01-01,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,9421
2022-01-01,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,11917
2022-01-01,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,11084
2022-01-01,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,10581
2022-01-01,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,5777
2022-01-01,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,8556
2022-01-01,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,12144
2022-01-01,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,9220
2022-01-01,Hapag-Lloyd,Container_TEU,Asia_to_Europe,Barzan,IMO9708851,19870,13284
2022-01-01,Hapag-Lloyd,Container_TEU,Europe_to_USA,Tihama,IMO9736107,19870,5273
2022-01-01,Hapag-Lloyd,Bulk_Cargo,Australia_to_China,HL Bulk Sydney,IMO9200055,50000,10677
2022-01-01,Hapag-Lloyd,Bulk_Cargo,Brazil_to_Europe,HL Bulk Rio,IMO9200066,50000,9406
2022-01-02,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,11316
2022-01-02,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,5356
2022-01-02,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,9414
2022-01-02,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,10116
2022-01-02,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,7614
2022-01-02,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,10615
2022-01-02,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,9526
2022-01-02,MSC,Container_TEU,Europe_to_USA,MSC Zoe,IMO9703318,19224,14425
2022-01-02,MSC,Bulk_Cargo,Australia_to_China,MSC Bulk Alpha,IMO9500011,55000,5592
2022-01-02,MSC,Bulk_Cargo,Brazil_to_Europe,MSC Bulk Beta,IMO9500022,55000,8680
2022-01-02,CMA CGM,Container_TEU,China_to_USA,CMA CGM Antoine de Saint Exupery,IMO9776418,20954,7648
2022-01-02,CMA CGM,Container_TEU,Asia_to_Europe,CMA CGM Jacques Saade,IMO9839179,23000,11378
2022-01-02,CMA CGM,Container_TEU,Europe_to_USA,CMA CGM Kerguelen,IMO9702132,17722,7894
2022-01-02,CMA CGM,Bulk_Cargo,Australia_to_China,CMA CGM Bulk 1,IMO9100033,60000,9597
2022-01-02,CMA CGM,Bulk_Cargo,Brazil_to_Europe,CMA CGM Bulk 2,IMO9100044,60000,7443
2022-01-02,Hapag-Lloyd,Container_TEU,China_to_USA,Al Zubara,IMO9708875,19870,8836
2022-01-02,Hapag-Lloyd,Container_TEU,Asia_to_Europe,Barzan,IMO9708851,19870,10364
2022-01-02,Hapag-Lloyd,Container_TEU,Europe_to_USA,Tihama,IMO9736107,19870,11199
2022-01-02,Hapag-Lloyd,Bulk_Cargo,Australia_to_China,HL Bulk Sydney,IMO9200055,50000,8276
2022-01-02,Hapag-Lloyd,Bulk_Cargo,Brazil_to_Europe,HL Bulk Rio,IMO9200066,50000,9911
2022-01-03,Maersk,Container_TEU,China_to_USA,Madrid Maersk,IMO9778791,20568,10235
2022-01-03,Maersk,Container_TEU,Asia_to_Europe,Morten Maersk,IMO9632064,18270,5445
2022-01-03,Maersk,Container_TEU,Europe_to_USA,Maguen Maersk,IMO9394806,10100,6335
2022-01-03,Maersk,Bulk_Cargo,Australia_to_China,Maersk Tianjin,IMO9388833,45000,13139
2022-01-03,Maersk,Bulk_Cargo,Brazil_to_Europe,Maersk Tokyo,IMO9388845,45000,11751
2022-01-03,MSC,Container_TEU,China_to_USA,MSC Oscar,IMO9703291,19224,7062
2022-01-03,MSC,Container_TEU,Asia_to_Europe,MSC Gulsun,IMO9839430,23756,11883
