Date,Mall,Equipment_ID,Vibration_mm_s,Temperature_C,Failure_Occurred
2022-01-01,Mall_1,Mall_1_Escalator_A,0.74,34.38,0
2022-01-02,Mall_1,Mall_1_Escalator_A,1.22,32.64,0
2022-01-03,Mall_1,Mall_1_Escalator_A,1.44,34.46,0
2022-01-04,Mall_1,Mall_1_Escalator_A,0.8,33.77,0
2022-01-05,Mall_1,Mall_1_Escalator_A,1.1,35.19,0
2022-01-06,Mall_1,Mall_1_Escalator_A,0.94,35.02,0
2022-01-07,Mall_1,Mall_1_Escalator_A,1.71,35.73,0
2022-01-08,Mall_1,Mall_1_Escalator_A,0.92,33.31,0
2022-01-09,Mall_1,Mall_1_Escalator_A,1.62,33.27,0
2022-01-10,Mall_1,Mall_1_Escalator_A,1.41,32.21,0
2022-01-11,Mall_1,Mall_1_Escalator_A,1.62,35.81,0
2022-01-12,Mall_1,Mall_1_Escalator_A,1.07,32.92,0
2022-01-13,Mall_1,Mall_1_Escalator_A,1.15,33.72,0
2022-01-14,Mall_1,Mall_1_Escalator_A,1.97,33.87,0
2022-01-15,Mall_1,Mall_1_Escalator_A,1.5,34.94,0
2022-01-16,Mall_1,Mall_1_Escalator_A,2.01,34.89,0
2022-01-17,Mall_1,Mall_1_Escalator_A,1.77,33.1,0
2022-01-18,Mall_1,Mall_1_Escalator_A,1.34,34.65,0
2022-01-19,Mall_1,Mall_1_Escalator_A,1.3,33.91,0
2022-01-20,Mall_1,Mall_1_Escalator_A,2.02,34.21,0
2022-01-21,Mall_1,Mall_1_Escalator_A,1.74,33.71,0
2022-01-22,Mall_1,Mall_1_Escalator_A,1.84,34.12,0
2022-01-23,Mall_1,Mall_1_Escalator_A,1.38,35.59,0
2022-01-24,Mall_1,Mall_1_Escalator_A,2.23,33.42,0
2022-01-25,Mall_1,Mall_1_Escalator_A,1.54,35.06,0
2022-01-26,Mall_1,Mall_1_Escalator_A,1.7,33.56,0
2022-01-27,Mall_1,Mall_1_Escalator_A,2.04,34.35,0
2022-01-28,Mall_1,Mall_1_Escalator_A,2.01,34.08,0
2022-01-29,Mall_1,Mall_1_Escalator_A,1.51,34.98,0
2022-01-30,Mall_1,Mall_1_Escalator_A,1.8,34.58,0
2022-01-31,Mall_1,Mall_1_Escalator_A,2.09,33.49,0
2022-02-01,Mall_1,Mall_1_Escalator_A,1.68,35.18,0
2022-02-02,Mall_1,Mall_1_Escalator_A,1.66,33.95,0
2022-02-03,Mall_1,Mall_1_Escalator_A,1.82,36.13,0
2022-02-04,Mall_1,Mall_1_Escalator_A,2.43,33.69,0
2022-02-05,Mall_1,Mall_1_Escalator_A,1.69,33.62,0
2022-02-06,Mall_1,Mall_1_Escalator_A,1.65,33.77,0
2022-02-07,Mall_1,Mall_1_Escalator_A,1.7,34.98,0
2022-02-08,Mall_1,Mall_1_Escalator_A,2.29,36.97,0
2022-02-09,Mall_1,Mall_1_Escalator_A,2.1,36.27,0
2022-02-10,Mall_1,Mall_1_Escalator_A,2.56,35.64,0
2022-02-11,Mall_1,Mall_1_Escalator_A,2.16,35.83,0
2022-02-12,Mall_1,Mall_1_Escalator_A,2.2,34.3,0
2022-02-13,Mall_1,Mall_1_Escalator_A,2.28,35.7,0
2022-02-14,Mall_1,Mall_1_Escalator_A,2.74,37.25,0
