Order Date,Store,Category,Sub-Category,Sales,Quantity
2022-01-01,Decathlon,Furniture,Bookcases,25,2
2022-01-02,Decathlon,Furniture,Bookcases,25,2
2022-01-03,Decathlon,Furniture,Bookcases,11,1
2022-01-04,Decathlon,Furniture,Bookcases,14,1
2022-01-05,Decathlon,Furniture,Bookcases,13,1
2022-01-06,Decathlon,Furniture,Bookcases,10,1
2022-01-07,Decathlon,Furniture,Bookcases,11,1
2022-01-08,Decathlon,Furniture,Bookcases,21,2
2022-01-09,Decathlon,Furniture,Bookcases,23,2
2022-01-10,Decathlon,Furniture,Bookcases,10,1
2022-01-11,Decathlon,Furniture,Bookcases,16,1
2022-01-12,Decathlon,Furniture,Bookcases,7,1
2022-01-13,Decathlon,Furniture,Bookcases,12,1
2022-01-14,Decathlon,Furniture,Bookcases,11,1
2022-01-15,Decathlon,Furniture,Bookcases,29,2
2022-01-16,Decathlon,Furniture,Bookcases,21,2
2022-01-17,Decathlon,Furniture,Bookcases,9,1
2022-01-18,Decathlon,Furniture,Bookcases,15,1
2022-01-19,Decathlon,Furniture,Bookcases,10,1
2022-01-20,Decathlon,Furniture,Bookcases,16,1
2022-01-21,Decathlon,Furniture,Bookcases,13,1
2022-01-22,Decathlon,Furniture,Bookcases,21,2
2022-01-23,Decathlon,Furniture,Bookcases,30,3
2022-01-24,Decathlon,Furniture,Bookcases,14,1
2022-01-25,Decathlon,Furniture,Bookcases,8,1
2022-01-26,Decathlon,Furniture,Bookcases,12,1
2022-01-27,Decathlon,Furniture,Bookcases,7,1
2022-01-28,Decathlon,Furniture,Bookcases,8,1
2022-01-29,Decathlon,Furniture,Bookcases,22,2
2022-01-30,Decathlon,Furniture,Bookcases,22,2
2022-01-31,Decathlon,Furniture,Bookcases,11,1
2022-02-01,Decathlon,Furniture,Bookcases,11,1
2022-02-02,Decathlon,Furniture,Bookcases,14,1
2022-02-03,Decathlon,Furniture,Bookcases,6,1
2022-02-04,Decathlon,Furniture,Bookcases,15,1
2022-02-05,Decathlon,Furniture,Bookcases,26,2
2022-02-06,Decathlon,Furniture,Bookcases,30,3
2022-02-07,Decathlon,Furniture,Bookcases,9,1
2022-02-08,Decathlon,Furniture,Bookcases,9,1
2022-02-09,Decathlon,Furniture,Bookcases,6,1
2022-02-10,Decathlon,Furniture,Bookcases,14,1
2022-02-11,Decathlon,Furniture,Bookcases,14,1
2022-02-12,Decathlon,Furniture,Bookcases,27,2
2022-02-13,Decathlon,Furniture,Bookcases,23,2
2022-02-14,Decathlon,Furniture,Bookcases,9,1
2022-02-15,Decathlon,Furniture,Bookcases,7,1
2022-02-16,Decathlon,Furniture,Bookcases,16,1
2022-02-17,Decathlon,Furniture,Bookcases,16,1
2022-02-18,Decathlon,Furniture,Bookcases,14,1
2022-02-19,Decathlon,Furniture,Bookcases,27,2
2022-02-20,Decathlon,Furniture,Bookcases,22,2
2022-02-21,Decathlon,Furniture,Bookcases,12,1
2022-02-22,Decathlon,Furniture,Bookcases,11,1
2022-02-23,Decathlon,Furniture,Bookcases,10,1
2022-02-24,Decathlon,Furniture,Bookcases,9,1
2022-02-25,Decathlon,Furniture,Bookcases,6,1
2022-02-26,Decathlon,Furniture,Bookcases,28,2
2022-02-27,Decathlon,Furniture,Bookcases,31,3
2022-02-28,Decathlon,Furniture,Bookcases,13,1
2022-03-01,Decathlon,Furniture,Bookcases,7,1
2022-03-02,Decathlon,Furniture,Bookcases,6,1
2022-03-03,Decathlon,Furniture,Bookcases,15,1
2022-03-04,Decathlon,Furniture,Bookcases,15,1
2022-03-05,Decathlon,Furniture,Bookcases,22,2
2022-03-06,Decathlon,Furniture,Bookcases,26,2
2022-03-07,Decathlon,Furniture,Bookcases,11,1
2022-03-08,Decathlon,Furniture,Bookcases,12,1
2022-03-09,Decathlon,Furniture,Bookcases,11,1
2022-03-10,Decathlon,Furniture,Bookcases,8,1
